ª›ÃﬂŸ:	'Chlorosome@GUV
Ãß≤Ÿñº:	Ni_3C6F5_dithiophene_OH_2.UDS
ï™êÕì˙éû:	14:50:25, 10/15/2021
µÕﬂ⁄∞¿:	Administrator
∫“›ƒ:	'from tepidum in GUV:Lecithin/DOPG/Chol=85/15/5 solvent:OS

√ﬁ∞¿ÿΩƒ
nm	Abs
494.00	0.055
493.50	0.056
493.00	0.056
492.50	0.056
492.00	0.057
491.50	0.057
491.00	0.058
490.50	0.058
490.00	0.059
489.50	0.059
489.00	0.059
488.50	0.060
488.00	0.060
487.50	0.061
487.00	0.062
486.50	0.063
486.00	0.064
485.50	0.064
485.00	0.065
484.50	0.066
484.00	0.067
483.50	0.068
483.00	0.069
482.50	0.070
482.00	0.071
481.50	0.073
481.00	0.074
480.50	0.076
480.00	0.077
479.50	0.079
479.00	0.080
478.50	0.082
478.00	0.084
477.50	0.086
477.00	0.088
476.50	0.090
476.00	0.092
475.50	0.095
475.00	0.097
474.50	0.100
474.00	0.103
473.50	0.106
473.00	0.109
472.50	0.112
472.00	0.115
471.50	0.118
471.00	0.121
470.50	0.125
470.00	0.129
469.50	0.132
469.00	0.136
468.50	0.140
468.00	0.144
467.50	0.148
467.00	0.152
466.50	0.157
466.00	0.161
465.50	0.166
465.00	0.171
464.50	0.176
464.00	0.181
463.50	0.186
463.00	0.191
462.50	0.196
462.00	0.202
461.50	0.207
461.00	0.212
460.50	0.218
460.00	0.223
459.50	0.229
459.00	0.235
458.50	0.241
458.00	0.247
457.50	0.253
457.00	0.259
456.50	0.265
456.00	0.271
455.50	0.278
455.00	0.284
454.50	0.290
454.00	0.297
453.50	0.303
453.00	0.310
452.50	0.316
452.00	0.323
451.50	0.330
451.00	0.338
450.50	0.345
450.00	0.353
449.50	0.361
449.00	0.369
448.50	0.378
448.00	0.387
447.50	0.395
447.00	0.405
446.50	0.414
446.00	0.424
445.50	0.434
445.00	0.444
444.50	0.455
444.00	0.466
443.50	0.478
443.00	0.490
442.50	0.502
442.00	0.515
441.50	0.529
441.00	0.543
440.50	0.558
440.00	0.573
439.50	0.588
439.00	0.603
438.50	0.619
438.00	0.636
437.50	0.653
437.00	0.670
436.50	0.688
436.00	0.707
435.50	0.727
435.00	0.747
434.50	0.768
434.00	0.790
433.50	0.812
433.00	0.835
432.50	0.858
432.00	0.881
431.50	0.904
431.00	0.928
430.50	0.952
430.00	0.977
429.50	1.001
