ª›ÃﬂŸ:	'Chlorosome@GUV
Ãß≤Ÿñº:	Ni_3C6F5_thiophene_OH_max.UDS
ï™êÕì˙éû:	18:02:11, 10/15/2021
µÕﬂ⁄∞¿:	Administrator
∫“›ƒ:	'from tepidum in GUV:Lecithin/DOPG/Chol=85/15/5 solvent:OS

√ﬁ∞¿ÿΩƒ
nm	Abs
482.00	0.060
481.50	0.061
481.00	0.062
480.50	0.063
480.00	0.064
479.50	0.065
479.00	0.066
478.50	0.068
478.00	0.069
477.50	0.071
477.00	0.073
476.50	0.074
476.00	0.076
475.50	0.078
475.00	0.080
474.50	0.082
474.00	0.084
473.50	0.087
473.00	0.089
472.50	0.092
472.00	0.095
471.50	0.098
471.00	0.101
470.50	0.104
470.00	0.107
469.50	0.111
469.00	0.115
468.50	0.118
468.00	0.123
467.50	0.127
467.00	0.132
466.50	0.137
466.00	0.143
465.50	0.148
465.00	0.154
464.50	0.160
464.00	0.167
463.50	0.174
463.00	0.182
462.50	0.189
462.00	0.197
461.50	0.206
461.00	0.215
460.50	0.224
460.00	0.234
459.50	0.245
459.00	0.256
458.50	0.267
458.00	0.279
457.50	0.292
457.00	0.304
456.50	0.318
456.00	0.331
455.50	0.345
455.00	0.359
454.50	0.374
454.00	0.389
453.50	0.404
453.00	0.420
452.50	0.435
452.00	0.452
451.50	0.468
451.00	0.484
450.50	0.501
450.00	0.518
449.50	0.534
449.00	0.550
448.50	0.566
448.00	0.582
447.50	0.597
447.00	0.612
446.50	0.626
446.00	0.639
445.50	0.652
445.00	0.665
444.50	0.677
444.00	0.688
443.50	0.698
443.00	0.708
442.50	0.717
442.00	0.725
441.50	0.733
441.00	0.740
440.50	0.747
440.00	0.753
439.50	0.758
439.00	0.763
438.50	0.767
438.00	0.771
437.50	0.775
437.00	0.778
436.50	0.781
436.00	0.784
435.50	0.787
435.00	0.789
434.50	0.791
434.00	0.793
433.50	0.795
433.00	0.797
432.50	0.799
432.00	0.800
431.50	0.801
431.00	0.801
430.50	0.802
430.00	0.802
429.50	0.801
429.00	0.801
428.50	0.799
428.00	0.797
427.50	0.795
427.00	0.792
426.50	0.788
426.00	0.783
425.50	0.778
425.00	0.772
424.50	0.765
424.00	0.757
423.50	0.749
423.00	0.740
422.50	0.730
422.00	0.720
