ª›ÃﬂŸ:	'Chlorosome@GUV
Ãß≤Ÿñº:	Ni_3C6F5_dithiophene_OH_max.UDS
ï™êÕì˙éû:	18:10:19, 10/15/2021
µÕﬂ⁄∞¿:	Administrator
∫“›ƒ:	'from tepidum in GUV:Lecithin/DOPG/Chol=85/15/5 solvent:OS

√ﬁ∞¿ÿΩƒ
nm	Abs
385.50	0.283
385.00	0.282
384.50	0.282
384.00	0.281
383.50	0.280
383.00	0.280
382.50	0.279
382.00	0.278
381.50	0.277
381.00	0.276
380.50	0.275
380.00	0.273
379.50	0.272
379.00	0.270
378.50	0.268
378.00	0.266
377.50	0.264
377.00	0.262
376.50	0.260
376.00	0.258
375.50	0.256
375.00	0.253
374.50	0.251
374.00	0.249
373.50	0.247
373.00	0.244
372.50	0.242
372.00	0.240
371.50	0.237
371.00	0.235
370.50	0.233
370.00	0.230
369.50	0.228
369.00	0.226
368.50	0.223
368.00	0.221
367.50	0.219
367.00	0.217
366.50	0.216
366.00	0.214
365.50	0.212
365.00	0.210
364.50	0.208
364.00	0.207
363.50	0.205
363.00	0.203
362.50	0.202
362.00	0.200
361.50	0.199
361.00	0.198
360.50	0.196
360.00	0.195
359.50	0.194
359.00	0.192
358.50	0.191
358.00	0.190
357.50	0.189
357.00	0.188
356.50	0.187
356.00	0.186
355.50	0.185
355.00	0.185
354.50	0.184
354.00	0.183
353.50	0.183
353.00	0.182
352.50	0.182
352.00	0.181
351.50	0.181
351.00	0.181
350.50	0.180
350.00	0.180
349.50	0.180
349.00	0.180
348.50	0.181
348.00	0.181
347.50	0.181
347.00	0.181
346.50	0.182
346.00	0.182
345.50	0.183
345.00	0.183
344.50	0.184
344.00	0.185
343.50	0.186
343.00	0.186
342.50	0.187
342.00	0.188
341.50	0.189
341.00	0.190
340.50	0.191
340.00	0.193
339.50	0.194
339.00	0.196
338.50	0.197
338.00	0.198
337.50	0.200
337.00	0.202
336.50	0.203
336.00	0.205
335.50	0.207
335.00	0.208
334.50	0.210
334.00	0.212
333.50	0.213
333.00	0.214
332.50	0.215
332.00	0.217
331.50	0.218
331.00	0.219
330.50	0.220
330.00	0.221
329.50	0.222
329.00	0.222
328.50	0.223
328.00	0.223
327.50	0.224
327.00	0.225
326.50	0.225
326.00	0.226
325.50	0.226
325.00	0.227
324.50	0.227
324.00	0.228
323.50	0.228
323.00	0.228
322.50	0.228
322.00	0.228
321.50	0.229
321.00	0.230
320.50	0.229
320.00	0.229
319.50	0.228
319.00	0.226
318.50	0.225
318.00	0.224
317.50	0.225
317.00	0.226
316.50	0.227
316.00	0.228
315.50	0.228
315.00	0.228
314.50	0.228
314.00	0.227
313.50	0.226
313.00	0.227
312.50	0.227
312.00	0.227
311.50	0.228
311.00	0.228
310.50	0.228
