ª›ÃﬂŸ:	'Chlorosome@GUV
Ãß≤Ÿñº:	Ni_3C6F5_thiazole_OH_max.UDS
ï™êÕì˙éû:	18:06:48, 10/15/2021
µÕﬂ⁄∞¿:	Administrator
∫“›ƒ:	'from tepidum in GUV:Lecithin/DOPG/Chol=85/15/5 solvent:OS

√ﬁ∞¿ÿΩƒ
nm	Abs
527.50	0.061
527.00	0.060
526.50	0.059
526.00	0.058
525.50	0.057
525.00	0.056
524.50	0.055
524.00	0.054
523.50	0.053
523.00	0.052
522.50	0.051
522.00	0.050
521.50	0.049
521.00	0.048
520.50	0.047
520.00	0.046
519.50	0.045
519.00	0.045
518.50	0.044
518.00	0.043
517.50	0.043
517.00	0.042
516.50	0.041
516.00	0.041
515.50	0.041
515.00	0.040
514.50	0.040
514.00	0.040
513.50	0.039
513.00	0.039
512.50	0.039
512.00	0.039
511.50	0.039
511.00	0.039
510.50	0.039
510.00	0.040
509.50	0.040
509.00	0.040
508.50	0.040
508.00	0.040
507.50	0.041
507.00	0.041
506.50	0.041
506.00	0.042
505.50	0.042
505.00	0.042
504.50	0.042
504.00	0.043
503.50	0.043
503.00	0.044
502.50	0.044
502.00	0.045
501.50	0.045
501.00	0.046
500.50	0.046
500.00	0.046
499.50	0.047
499.00	0.047
498.50	0.048
498.00	0.048
497.50	0.048
497.00	0.049
496.50	0.049
496.00	0.049
495.50	0.050
495.00	0.050
494.50	0.051
494.00	0.051
493.50	0.051
493.00	0.052
492.50	0.052
492.00	0.052
491.50	0.053
491.00	0.053
490.50	0.053
490.00	0.054
489.50	0.054
489.00	0.054
488.50	0.054
488.00	0.055
487.50	0.055
487.00	0.056
486.50	0.056
486.00	0.056
485.50	0.057
485.00	0.057
484.50	0.058
484.00	0.058
483.50	0.059
483.00	0.059
482.50	0.060
482.00	0.060
481.50	0.061
481.00	0.061
480.50	0.062
480.00	0.063
479.50	0.064
479.00	0.064
478.50	0.065
478.00	0.067
477.50	0.068
477.00	0.069
476.50	0.070
476.00	0.072
475.50	0.073
475.00	0.075
474.50	0.076
474.00	0.078
473.50	0.080
473.00	0.082
472.50	0.085
472.00	0.087
471.50	0.090
471.00	0.092
470.50	0.095
470.00	0.097
469.50	0.100
469.00	0.103
468.50	0.106
468.00	0.110
467.50	0.113
467.00	0.117
466.50	0.122
466.00	0.126
465.50	0.131
465.00	0.136
464.50	0.142
464.00	0.148
463.50	0.154
463.00	0.161
462.50	0.168
462.00	0.176
461.50	0.183
461.00	0.192
460.50	0.201
460.00	0.210
459.50	0.220
459.00	0.231
458.50	0.243
458.00	0.255
457.50	0.267
457.00	0.281
456.50	0.295
456.00	0.309
455.50	0.324
455.00	0.340
454.50	0.357
454.00	0.374
453.50	0.391
453.00	0.409
452.50	0.428
452.00	0.447
451.50	0.468
451.00	0.489
450.50	0.510
450.00	0.533
449.50	0.555
449.00	0.578
448.50	0.601
448.00	0.624
447.50	0.647
447.00	0.670
446.50	0.693
446.00	0.717
445.50	0.740
445.00	0.763
444.50	0.786
444.00	0.809
443.50	0.831
443.00	0.854
442.50	0.876
442.00	0.898
441.50	0.920
441.00	0.941
440.50	0.962
440.00	0.982
439.50	1.001
439.00	1.019
438.50	1.037
438.00	1.054
437.50	1.070
437.00	1.086
436.50	1.101
436.00	1.115
435.50	1.128
435.00	1.141
434.50	1.152
434.00	1.162
433.50	1.171
433.00	1.179
432.50	1.185
432.00	1.189
431.50	1.192
431.00	1.193
430.50	1.193
430.00	1.192
429.50	1.188
429.00	1.184
428.50	1.177
428.00	1.169
427.50	1.159
427.00	1.147
426.50	1.134
426.00	1.119
425.50	1.102
425.00	1.084
424.50	1.064
424.00	1.044
423.50	1.024
423.00	1.002
422.50	0.981
422.00	0.959
421.50	0.937
421.00	0.915
420.50	0.893
420.00	0.871
419.50	0.850
419.00	0.829
418.50	0.808
418.00	0.788
417.50	0.769
417.00	0.751
416.50	0.734
416.00	0.717
415.50	0.702
415.00	0.687
414.50	0.673
414.00	0.660
413.50	0.648
413.00	0.635
412.50	0.623
412.00	0.612
411.50	0.600
411.00	0.589
410.50	0.578
410.00	0.566
409.50	0.556
409.00	0.545
408.50	0.535
408.00	0.525
407.50	0.514
407.00	0.505
406.50	0.495
406.00	0.485
405.50	0.476
405.00	0.467
404.50	0.458
404.00	0.449
403.50	0.440
403.00	0.431
402.50	0.422
402.00	0.413
401.50	0.404
401.00	0.395
400.50	0.386
400.00	0.378
399.50	0.369
399.00	0.361
398.50	0.353
398.00	0.345
397.50	0.337
397.00	0.329
396.50	0.321
396.00	0.314
395.50	0.307
395.00	0.300
394.50	0.294
394.00	0.287
393.50	0.282
393.00	0.277
392.50	0.272
392.00	0.268
391.50	0.264
391.00	0.260
390.50	0.257
390.00	0.255
389.50	0.252
389.00	0.250
388.50	0.249
388.00	0.248
387.50	0.246
387.00	0.246
386.50	0.245
386.00	0.245
385.50	0.245
385.00	0.245
384.50	0.245
384.00	0.245
383.50	0.245
383.00	0.246
382.50	0.246
382.00	0.247
381.50	0.247
381.00	0.247
380.50	0.247
380.00	0.247
379.50	0.247
379.00	0.247
378.50	0.246
378.00	0.246
377.50	0.245
377.00	0.245
376.50	0.244
376.00	0.242
375.50	0.241
375.00	0.239
374.50	0.238
374.00	0.236
373.50	0.234
373.00	0.232
372.50	0.230
372.00	0.228
371.50	0.226
371.00	0.224
370.50	0.222
370.00	0.219
369.50	0.217
369.00	0.215
368.50	0.213
368.00	0.211
367.50	0.209
367.00	0.208
366.50	0.206
366.00	0.205
365.50	0.204
365.00	0.202
364.50	0.201
364.00	0.200
363.50	0.199
363.00	0.198
362.50	0.197
362.00	0.196
361.50	0.196
361.00	0.195
360.50	0.195
360.00	0.194
359.50	0.193
359.00	0.192
358.50	0.192
358.00	0.192
357.50	0.192
357.00	0.192
356.50	0.192
356.00	0.192
355.50	0.192
355.00	0.193
354.50	0.193
354.00	0.194
353.50	0.194
353.00	0.195
352.50	0.196
352.00	0.197
351.50	0.198
351.00	0.200
350.50	0.201
350.00	0.202
349.50	0.203
349.00	0.204
348.50	0.205
348.00	0.206
347.50	0.207
347.00	0.208
346.50	0.209
346.00	0.209
345.50	0.210
345.00	0.210
344.50	0.210
344.00	0.210
343.50	0.210
343.00	0.209
342.50	0.208
342.00	0.207
341.50	0.207
341.00	0.206
340.50	0.205
340.00	0.204
339.50	0.203
339.00	0.202
338.50	0.201
338.00	0.201
337.50	0.200
337.00	0.200
336.50	0.199
336.00	0.199
335.50	0.199
335.00	0.199
334.50	0.199
334.00	0.200
333.50	0.200
333.00	0.200
332.50	0.201
332.00	0.202
331.50	0.203
331.00	0.203
330.50	0.204
330.00	0.204
329.50	0.205
329.00	0.205
328.50	0.206
328.00	0.206
327.50	0.207
327.00	0.208
326.50	0.209
326.00	0.210
325.50	0.212
325.00	0.212
324.50	0.214
324.00	0.215
323.50	0.216
323.00	0.216
322.50	0.218
322.00	0.219
321.50	0.221
321.00	0.223
320.50	0.223
320.00	0.224
319.50	0.224
319.00	0.224
318.50	0.224
318.00	0.225
317.50	0.227
317.00	0.230
316.50	0.232
316.00	0.233
315.50	0.234
315.00	0.234
314.50	0.234
314.00	0.233
313.50	0.233
313.00	0.233
312.50	0.234
312.00	0.234
311.50	0.233
311.00	0.233
310.50	0.232
310.00	0.232
309.50	0.231
309.00	0.231
308.50	0.231
308.00	0.230
307.50	0.230
307.00	0.230
306.50	0.230
306.00	0.230
305.50	0.230
305.00	0.230
304.50	0.230
304.00	0.230
303.50	0.230
303.00	0.230
302.50	0.231
302.00	0.231
301.50	0.232
301.00	0.232
300.50	0.233
300.00	0.233
299.50	0.234
299.00	0.234
298.50	0.235
298.00	0.235
297.50	0.235
297.00	0.236
296.50	0.236
296.00	0.236
295.50	0.237
295.00	0.237
294.50	0.238
294.00	0.238
293.50	0.239
293.00	0.240
292.50	0.240
292.00	0.241
291.50	0.241
291.00	0.242
290.50	0.242
290.00	0.242
289.50	0.243
289.00	0.243
288.50	0.243
288.00	0.243
287.50	0.242
287.00	0.242
286.50	0.242
286.00	0.241
285.50	0.241
285.00	0.241
284.50	0.240
284.00	0.239
283.50	0.238
283.00	0.237
282.50	0.236
282.00	0.235
281.50	0.234
281.00	0.233
280.50	0.232
280.00	0.230
279.50	0.229
279.00	0.228
278.50	0.226
278.00	0.225
277.50	0.224
277.00	0.223
276.50	0.222
276.00	0.221
275.50	0.221
275.00	0.220
274.50	0.219
274.00	0.218
273.50	0.217
273.00	0.217
272.50	0.216
272.00	0.215
271.50	0.214
271.00	0.214
270.50	0.214
270.00	0.213
269.50	0.213
269.00	0.213
268.50	0.213
268.00	0.213
267.50	0.213
267.00	0.213
266.50	0.213
266.00	0.213
265.50	0.214
265.00	0.214
264.50	0.214
264.00	0.215
263.50	0.215
263.00	0.216
262.50	0.216
262.00	0.217
261.50	0.218
261.00	0.219
260.50	0.220
260.00	0.221
259.50	0.222
259.00	0.223
258.50	0.225
258.00	0.226
257.50	0.227
257.00	0.228
256.50	0.229
256.00	0.230
255.50	0.231
255.00	0.232
254.50	0.232
254.00	0.233
253.50	0.234
253.00	0.235
252.50	0.236
252.00	0.237
251.50	0.238
251.00	0.239
250.50	0.239
250.00	0.240

