ª›ÃﬂŸ:	'Chlorosome@GUV
Ãß≤Ÿñº:	Ni_3C6F5_thiophene_OH_7.UDS
ï™êÕì˙éû:	16:57:00, 10/15/2021
µÕﬂ⁄∞¿:	Administrator
∫“›ƒ:	'from tepidum in GUV:Lecithin/DOPG/Chol=85/15/5 solvent:OS

√ﬁ∞¿ÿΩƒ
nm	Abs
547.50	0.047
547.00	0.048
546.50	0.049
546.00	0.049
545.50	0.050
545.00	0.051
544.50	0.052
544.00	0.053
543.50	0.054
543.00	0.054
542.50	0.055
542.00	0.056
541.50	0.057
541.00	0.057
540.50	0.058
540.00	0.058
539.50	0.058
539.00	0.059
538.50	0.059
538.00	0.059
537.50	0.060
537.00	0.060
536.50	0.060
536.00	0.060
535.50	0.060
535.00	0.060
534.50	0.059
534.00	0.059
533.50	0.059
533.00	0.058
532.50	0.058
532.00	0.057
531.50	0.057
531.00	0.056
530.50	0.056
530.00	0.055
529.50	0.054
529.00	0.053
528.50	0.052
528.00	0.051
527.50	0.051
527.00	0.050
526.50	0.049
526.00	0.048
525.50	0.047
525.00	0.046
524.50	0.046
524.00	0.045
523.50	0.044
523.00	0.043
522.50	0.043
522.00	0.042
521.50	0.041
521.00	0.041
520.50	0.040
520.00	0.040
519.50	0.039
519.00	0.039
518.50	0.038
518.00	0.038
517.50	0.037
517.00	0.037
516.50	0.037
516.00	0.037
515.50	0.036
515.00	0.036
514.50	0.036
514.00	0.036
513.50	0.036
513.00	0.036
512.50	0.036
512.00	0.036
511.50	0.036
511.00	0.036
510.50	0.036
510.00	0.036
509.50	0.036
509.00	0.036
508.50	0.036
508.00	0.036
507.50	0.037
507.00	0.037
506.50	0.037
506.00	0.038
505.50	0.038
505.00	0.038
504.50	0.038
504.00	0.039
503.50	0.039
503.00	0.039
502.50	0.040
502.00	0.040
501.50	0.040
501.00	0.041
500.50	0.041
500.00	0.041
499.50	0.042
499.00	0.042
498.50	0.042
498.00	0.043
497.50	0.043
497.00	0.043
496.50	0.044
496.00	0.044
495.50	0.044
495.00	0.045
494.50	0.045
494.00	0.045
493.50	0.046
493.00	0.046
492.50	0.047
492.00	0.047
491.50	0.047
491.00	0.047
490.50	0.048
490.00	0.048
489.50	0.048
489.00	0.049
488.50	0.049
488.00	0.050
487.50	0.050
487.00	0.051
486.50	0.052
486.00	0.053
485.50	0.053
485.00	0.054
484.50	0.055
484.00	0.055
483.50	0.056
483.00	0.057
482.50	0.057
482.00	0.058
481.50	0.059
481.00	0.061
480.50	0.062
480.00	0.063
479.50	0.064
479.00	0.065
478.50	0.066
478.00	0.068
477.50	0.069
477.00	0.071
476.50	0.073
476.00	0.074
475.50	0.076
475.00	0.078
474.50	0.081
474.00	0.083
473.50	0.086
473.00	0.088
472.50	0.091
472.00	0.094
471.50	0.097
471.00	0.100
470.50	0.103
470.00	0.107
469.50	0.110
469.00	0.114
468.50	0.118
468.00	0.123
467.50	0.127
467.00	0.132
466.50	0.138
466.00	0.143
465.50	0.149
465.00	0.156
464.50	0.162
464.00	0.169
463.50	0.177
463.00	0.185
462.50	0.193
462.00	0.201
461.50	0.210
461.00	0.219
460.50	0.229
460.00	0.239
459.50	0.249
459.00	0.261
458.50	0.272
458.00	0.284
457.50	0.297
457.00	0.310
456.50	0.323
456.00	0.337
455.50	0.350
455.00	0.365
454.50	0.379
454.00	0.394
453.50	0.408
453.00	0.422
452.50	0.436
452.00	0.450
451.50	0.464
451.00	0.478
450.50	0.493
450.00	0.509
449.50	0.524
449.00	0.539
448.50	0.553
448.00	0.567
447.50	0.580
447.00	0.592
446.50	0.604
446.00	0.616
445.50	0.627
445.00	0.637
444.50	0.647
444.00	0.655
443.50	0.664
443.00	0.672
442.50	0.679
442.00	0.685
441.50	0.691
441.00	0.697
440.50	0.702
440.00	0.706
439.50	0.710
439.00	0.714
438.50	0.717
438.00	0.721
437.50	0.724
437.00	0.727
436.50	0.731
436.00	0.734
435.50	0.737
435.00	0.741
434.50	0.744
434.00	0.748
433.50	0.752
433.00	0.755
432.50	0.759
432.00	0.763
431.50	0.767
431.00	0.771
430.50	0.774
430.00	0.778
429.50	0.781
429.00	0.785
428.50	0.788
428.00	0.790
427.50	0.793
427.00	0.794
426.50	0.796
426.00	0.796
